Entering idle mode...
Please select: [i]dle mode, [l]aunch mode, [d]ownload data, [e]rase memory? Reading from flash head at 0x200
1502955,-1551,-2693,-16375,119,-318,-396,1005,3530,-6275,-118
1502984,-1502,-2664,-16115,82,-484,-282,1021,3545,-6276,-118
1503010,-1390,-2731,-16289,-26,-431,-147,1031,3542,-6282,-118
1503037,-1556,-2763,-15793,-43,-351,-143,1044,3569,-6247,-120
1503064,-1850,-2738,-16458,-131,-455,72,1049,3563,-6278,-118
1503092,-2052,-2768,-16403,-437,-631,364,1065,3562,-6258,-118
1503119,-2243,-2623,-16125,83,-532,757,1115,3583,-6259,-120
1503145,-710,-2852,-16821,229,-345,656,1133,3586,-6254,-118
1503174,-1362,-3191,-16835,-617,-47,-496,1133,3597,-6266,-119
1503201,-2297,-3090,-16006,-959,-370,-905,1130,3585,-6246,-119
1503246,-1416,-2984,-16458,-497,-237,-310,1151,3558,-6265,-119
1503275,-1972,-2952,-16520,-763,-154,-730,1132,3566,-6307,-118
1503301,-2047,-2795,-16621,-644,-264,-778,1129,3539,-6294,-118
1503328,-1925,-2504,-16878,-630,-208,-162,1131,3548,-6293,-118
1503356,-1414,-2467,-16685,-882,-297,-173,1159,3533,-6306,-118
1503383,-604,-2392,-16390,-633,-77,-627,1158,3528,-6300,-120
1503410,-1284,-2444,-15879,13,134,-1445,1135,3514,-6287,-119
1503436,-1133,-2631,-16918,257,336,-1301,1080,3545,-6277,-120
1503465,-828,-2696,-16447,0,685,-1493,1065,3541,-6293,-118
1503492,-878,-2783,-16870,41,1441,-2215,972,3572,-6279,-118
1503539,-2803,-2447,-15203,-1514,-785,-621,944,3535,-6284,-118
1503565,-1703,-2727,-16929,-726,-947,591,967,3523,-6285,-120
1503592,-493,-2794,-15199,-1263,-1520,730,1044,3496,-6307,-120
1503619,-1045,-2476,-14358,-1102,-1334,-140,1061,3485,-6311,-119
1503647,-3292,-2523,-15806,620,-1207,236,1096,3486,-6318,-119
1503674,-1293,-2995,-16484,437,-4977,2117,1236,3533,-6305,-118
1503700,-2038,-2826,-17389,-724,-2013,1357,1335,3510,-6315,-118
1503727,-1156,-2618,-16741,-944,-1164,459,1396,3508,-6322,-118
1503756,-3497,-2003,-16884,-2050,27,250,1404,3475,-6348,-119
1503782,-3956,-2396,-16821,-2701,-1179,2103,1418,3444,-6357,-118
1503830,-1631,-2429,-16699,-2977,-3125,4425,1694,3299,-6454,-119
1503856,-709,-1087,-15390,-4514,1642,3727,1731,3215,-6485,-119
1503883,-856,-755,-15181,-1749,2751,-386,1706,3164,-6518,-119
1503909,-2016,-1173,-15924,-1482,2419,-3331,1536,3143,-6532,-120
1503938,-2915,-1472,-15406,-1103,-341,-1866,1477,3121,-6540,-118
1503965,-2089,-1348,-14818,348,129,-1824,1449,3140,-6527,-118
1503991,-1260,-2328,-20537,650,-45,-3632,1418,3169,-6508,-119
1504018,-3542,-1088,-15868,-3245,-1916,-4093,1419,3136,-6532,-119
1504047,-5082,-2239,-13872,-465,-4323,618,1520,3103,-6550,-118
1504073,-649,-1800,-16950,90,-1160,3009,1613,3124,-6526,-118
1504120,-2065,-1295,-17415,-1113,3176,-3865,1596,3111,-6547,-117
1504147,-4332,-540,-15386,-1106,-769,-2997,1452,3078,-6553,-118
1504174,-3171,-775,-14375,-147,-1826,-1270,1464,3075,-6564,-120
1504200,-2322,-1316,-14846,1474,-426,-1300,1489,3125,-6544,-118
1504229,-2174,-1316,-16507,1598,632,-1540,1461,3174,-6510,-117
1504256,-2638,-1816,-15615,402,589,-1480,1425,3190,-6502,-119
1504282,-1778,-2083,-17071,1167,-327,-997,1419,3229,-6473,-118
1504309,-1683,-2223,-16820,751,-189,-1208,1413,3249,-6464,-118
1504337,-2086,-2038,-16221,1023,-66,-1373,1383,3269,-6452,-120
1504364,-1985,-2027,-16558,612,557,-1298,1370,3314,-6430,-119
1504411,-1564,-1994,-17266,-649,47,-1037,1313,3320,-6422,-119
1504438,-1803,-2093,-16930,-1306,735,-1964,1260,3289,-6435,-118
1504464,-1169,-1912,-16187,-720,184,-1531,1245,3291,-6440,-118
1504491,-2564,-1792,-15910,-185,-156,-1705,1224,3297,-6444,-118
1504520,-1128,-1596,-15927,-162,197,-403,1197,3297,-6441,-118
1504546,-2408,-1908,-16427,-318,366,-810,1181,3302,-6441,-118
1504573,-2241,-2427,-16162,-696,-648,-673,1206,3296,-6445,-118
1504600,-1299,-2085,-16439,-786,-1250,224,1235,3285,-6455,-120
1504628,-768,-1404,-16200,-794,383,-1227,1243,3274,-6427,-119
1504655,-1918,-1757,-15843,-1043,469,-2199,1165,3257,-6459,-117
1504702,-2181,-1926,-16635,541,1197,-2463,1117,3285,-6462,-119
1504729,-2204,-1999,-16444,238,-750,-521,1081,3289,-6434,-117
1504755,-1496,-1658,-16172,298,-583,171,1110,3314,-6433,-119
1504782,-863,-1889,-16689,-232,-27,333,1121,3315,-6429,-118
1504811,-375,-2518,-16620,108,1921,-678,1099,3332,-6419,-117
1504837,-2212,-1705,-15326,-372,863,-1913,1011,3323,-6391,-120
1504864,-2643,-1982,-17185,-230,-224,40,983,3339,-6415,-117
1504892,542,-2212,-15907,-716,-1141,706,1016,3340,-6391,-119
1504919,-80,-2027,-17292,-495,2194,-2160,992,3326,-6399,-119
1504946,-2468,-1599,-16065,-1191,3804,-2691,865,3310,-6404,-119
1504993,-1076,-2384,-16375,-885,1381,-1063,686,3265,-6411,-119
1505019,-353,-2474,-15882,324,-1499,-1047,678,3265,-6427,-120
1505046,-873,-2094,-17280,750,-2495,-1706,697,3282,-6408,-118
1505075,-472,-1793,-15645,325,-2962,-272,782,3307,-6400,-118
1505101,-507,-2459,-16950,120,-461,-405,802,3318,-6388,-119
1505128,-1393,-2465,-17433,-496,-848,-692,834,3329,-6411,-118
1505155,-2083,-1923,-16709,-1212,1,-584,824,3306,-6407,-118
1505183,-2476,-2732,-16929,-1770,1086,997,809,3294,-6419,-118
1505210,873,-2316,-14494,137,-1515,132,927,3300,-6422,-118
1505236,-1239,-1735,-17564,1044,3021,-2604,850,3294,-6414,-118
1505284,-1536,-1470,-15730,-1530,-812,110,759,3303,-6418,-120
1505310,-151,-2367,-16021,-840,-1705,475,755,3242,-6438,-120
1505337,1380,-1757,-14284,1358,-3643,-1401,822,3271,-6429,-120
1505366,-3953,-3066,-16896,2617,-6687,-2874,995,3377,-6393,-119
1505392,-4503,-3733,-17027,2484,-10194,1642,1233,3439,-6363,-119
1505419,-2427,-2665,-15710,3094,-9513,4055,1543,3511,-6331,-119
1505445,-3704,-1902,-15807,-710,459,880,1793,3567,-6307,-117
1505474,-2923,-1993,-15643,-1616,-751,2534,1791,3534,-6316,-119
1505501,-3762,-2443,-14659,-1024,-120,1195,1852,3515,-6312,-119
1505527,-3402,-2462,-15341,532,-2005,1463,1950,3544,-6320,-119
1505574,-3642,-2266,-17974,494,679,1539,1968,3590,-6267,-119
1505601,-3098,-2522,-16660,-1717,1318,1864,1957,3565,-6303,-119
1505628,-2114,-2222,-15221,364,-244,1144,1974,3550,-6319,-118
1505656,-3678,-1801,-15953,1097,3235,-225,1974,3585,-6295,-118
1505683,-3754,-2073,-17443,1627,-743,1011,1950,3632,-6260,-118
1505710,-4570,1712,-19660,-1004,-3369,641,2061,3663,-6244,-120
1505736,13565,5144,-20851,-745,6341,210,2458,3282,-6432,-118
1505765,362,1855,-10540,-493,-1793,3466,2542,3260,-6433,-119
1505792,-6333,-3504,-14073,-2374,666,-2123,2436,3223,-6464,-119
1505818,-4714,-4880,-16052,-2152,-7908,-3400,2600,3161,-6465,-119
1505865,-2295,-4341,-17560,-2255,-8039,-7199,2844,3108,-6484,-119
1505892,-1453,-3272,-14624,2382,-3547,-16833,2863,3155,-6440,-119
1505918,-8301,-2339,-14502,10835,-7559,-23316,2540,3631,-6226,-119
1505947,-9133,-2824,-12555,13997,-20200,-11912,2666,3892,-6019,-119
1505974,-6760,-3235,-13905,18300,-29523,-11323,3003,4205,-5735,-119
1506000,-22941,-5631,-11699,22789,-30020,-14801,3770,4955,-4795,-119
1506027,-14832,-5020,-10295,22941,-32768,5828,4295,5283,-4186,-118
1506056,-6243,-3503,-8135,22134,-32768,6990,5636,5593,-2534,-120
1506082,6088,-979,-12624,20376,-32768,29,5977,5670,-1613,-118
1506109,425,-1724,-2525,15519,-31347,-8257,6038,5754,-865,-118
1506156,-20243,-7737,3026,18153,-30806,10362,5866,5700,975,-118
1506183,-16832,-11238,13498,12024,-28140,14707,5960,5431,1540,-118
1506209,-32760,-22726,27932,2102,4620,-9864,5966,5399,1617,-118
1506236,-25013,-17025,21255,3756,-8192,-15287,5520,5590,1801,-118
1506265,-6993,-8384,4459,4049,-10658,-19158,5119,5725,1987,-118
1506291,-2769,-5406,963,173,-1045,-18536,4340,5967,2147,-118
1506318,323,-1485,-4153,-1416,3285,-16665,4050,6055,2101,-119
1506344,6490,-500,-8256,4261,-3288,-8257,3812,6112,2126,-119
1506373,9631,-534,-4488,11339,-9563,5159,3632,5950,2551,-119
1506400,2724,-4053,-970,14413,-133,12569,3823,5780,2812,-119
1506447,-16407,-13583,25655,14748,264,4997,4301,5179,3452,-120
1506473,-16505,-15791,16259,18438,-3542,758,4303,4738,3959,-119
1506500,-9912,-11635,15935,15159,-2523,-5488,4181,4532,4211,-119
1506527,-11038,-9193,12879,11627,65,-8218,3924,4247,4562,-119
1506555,-7334,-7847,12345,11956,-5252,-4805,3790,4091,4729,-119
1506582,-6615,-4708,10420,13321,-9238,-5976,3517,3877,4987,-119
1506609,-11847,-3316,13297,8571,-316,-5499,3247,3574,5248,-120
1506635,-8728,-3100,13253,6912,-4928,2530,3203,3443,5328,-120
1506664,-7278,-1748,14654,5265,-6787,133,3101,3303,5441,-118
1506691,-4252,-391,14602,5683,-8614,-1781,2768,3092,5616,-118
1506736,-12181,243,14358,3568,3334,-400,2689,2947,5690,-120
1506764,-5828,1681,13951,5095,-2272,6268,2752,2731,5772,-119
1506791,-7291,1693,11138,1331,5548,2734,2886,2717,5762,-119
1506818,-9170,-419,10448,2943,2880,6809,3073,2638,5742,-119
1506844,-9430,758,14639,12265,-4957,13220,3165,2180,5877,-119
1506873,-15683,-597,20661,3660,11393,103,3355,2007,5875,-119
1506899,-20287,-1334,22045,-456,17980,-1908,3721,2028,5769,-118
1506926,-17991,-3546,20934,2880,1035,3826,4099,1940,5668,-120
1506953,-30105,-3209,29007,-4343,7301,-9021,4124,1922,5667,-120
1506981,-26310,-3025,29057,-10785,4110,-469,4316,2262,5495,-120
1507026,-8182,-1847,7895,-10444,1805,-8208,4043,2654,5460,-120
1507055,-3893,-870,1951,-9158,3976,-6843,4076,2875,5348,-120
1507082,1375,3253,-2127,-6083,-240,-5233,4041,3157,5232,-120
1507108,10247,4735,-4992,-8896,9689,580,4238,3311,5073,-118
1507135,-8288,-4877,-6976,-7706,31816,-5654,4703,3517,4724,-120
1507164,-29148,-8293,23182,6854,13,21257,5455,3437,4356,-120
1507190,-18336,-3966,19030,7970,-8872,18200,5476,3053,4568,-120
1507217,-25332,-7784,18694,-2630,4176,9560,5760,2836,4478,-120
