614295,91,-151,1317,-27,-300,-19,-3120,-40,7628,-23
614322,76,-153,1320,-31,-304,-20,-3124,-50,7634,-23
614350,89,-147,1315,-36,-312,-24,-3117,-48,7653,-23
614377,106,-148,1315,-32,-308,-20,-3119,-40,7640,-23
614404,93,-148,1304,-30,-302,-19,-3129,-47,7581,-23
614432,82,-156,1314,-32,-324,-22,-3126,-67,7616,-23
614459,92,-148,1315,-35,-311,-21,-3125,-50,7691,-23
614486,86,-145,1316,-31,-309,-22,-3134,-33,7616,-23
614512,84,-155,1311,-29,-308,-17,-3142,-20,7583,-23
614541,88,-158,1323,-29,-295,-19,-3118,-66,7632,-24
614586,93,-154,1323,-29,-307,-22,-3127,-47,7631,-24
614612,101,-139,1313,-25,-298,-23,-3134,-34,7604,-23
614641,100,-144,1311,-31,-309,-19,-3122,-63,7618,-23
614668,86,-144,1333,-27,-313,-18,-3122,-71,7637,-23
614694,78,-152,1311,-34,-319,-26,-3127,-38,7654,-23
614721,77,-149,1319,-29,-307,-22,-3126,-22,7586,-23
614750,87,-160,1308,-23,-310,-18,-3137,-51,7594,-23
614776,100,-151,1324,-21,-306,-20,-3124,-68,7649,-23
614803,99,-161,1315,-27,-316,-21,-3120,-45,7602,-23
614832,97,-151,1307,-26,-315,-21,-3129,-27,7593,-23
614877,93,-147,1318,-27,-297,-24,-3132,-74,7654,-23
614903,81,-159,1319,-24,-311,-23,-3122,-58,7641,-23
614932,80,-149,1330,-22,-300,-18,-3127,-23,7585,-23
614959,73,-153,1327,-39,-307,-22,-3130,-41,7594,-23
614985,81,-145,1336,-31,-311,-19,-3122,-69,7636,-23
615014,86,-168,1309,-32,-312,-23,-3126,-39,7623,-23
615041,82,-154,1332,-30,-302,-19,-3119,-39,7600,-23
615067,105,-154,1307,-34,-295,-18,-3131,-55,7574,-23
615094,96,-152,1323,-30,-303,-18,-3122,-65,7644,-23
615122,113,-90,1249,-28,-301,-19,-3131,-57,7657,-23
615168,24,-200,1289,-16,-576,-11,-3113,-13,7615,-23
615194,-127,-192,1251,-166,-2053,157,-3344,-4,7625,-23
615223,95,-65,1138,365,955,1,-3585,-14,7590,-23
615249,274,-400,1360,-339,-114,-460,-3324,20,7567,-23
615276,110,-339,1253,-208,-282,-177,-3258,47,7565,-23
615305,24,0,1438,278,-94,566,-3304,14,7603,-23
615331,129,-124,1513,120,-342,-98,-3281,-24,7608,-23
615358,73,-218,1241,-28,1189,-560,-3102,-8,7597,-23
615385,28,-224,1201,-165,376,-209,-2788,1,7623,-23
615413,62,-153,1347,71,-1006,245,-2896,-23,7663,-23
615458,101,-123,1430,-21,-459,-85,-3092,-18,7634,-23
615485,77,-138,1264,-123,90,-227,-3034,-12,7594,-23
615514,57,-177,1245,-153,-129,-87,-2952,-12,7630,-23
615540,52,-176,1233,-36,-277,-53,-2946,-11,7691,-23
615567,87,-161,1311,118,-627,28,-3004,3,7615,-23
615596,80,-145,1330,-17,-308,-28,-3052,-21,7569,-23
615622,67,-160,1315,-71,-152,-85,-3007,-49,7634,-24
615649,66,-175,1307,-7,-178,-63,-2972,-44,7669,-23
615675,65,-162,1323,25,-342,15,-2957,-25,7637,-23
615704,71,-161,1371,-2,-377,14,-3006,-42,7587,-23
615749,108,-99,1145,88,-351,-214,-2959,-72,7726,-24
615776,-105,-454,1387,39,-1544,159,-3114,-70,7696,-22
615804,298,-177,1871,89,-1005,445,-3533,-89,7521,-23
615831,350,-78,1320,-258,-441,48,-3504,-94,7518,-23
615858,154,-33,1017,-347,-1716,-92,-3856,0,7527,-23
615886,146,-483,1546,107,-1944,366,-4257,-17,7391,-23
615913,583,-63,1369,333,-1146,545,-4483,-57,7279,-23
615940,350,-144,1329,-315,-320,-138,-4634,-50,7277,-23
615966,378,-233,1260,-183,-81,-219,-4600,-46,7327,-23
615995,591,-125,1381,-85,807,-340,-4271,-12,7379,-22
616040,335,-108,1151,87,1289,38,-3673,-44,7508,-22
616067,150,-168,1174,-4,733,-77,-3544,-42,7573,-23
616095,104,-171,1249,85,-325,4,-3353,-32,7572,-23
616122,110,-131,1234,176,-473,98,-3370,-64,7547,-22
616148,176,-119,1368,-13,-565,34,-3488,-84,7516,-22
616177,148,-157,1377,-116,-311,-53,-3509,-88,7584,-24
616204,146,-148,1261,-140,-40,-28,-3453,-51,7583,-23
616230,-52,-89,1310,3,-799,-309,-3530,-89,7456,-23
