183207,-76,-16658,-185,168,144,-278,3565,8044,143,33
183209,-76,-16658,-185,108,167,2,3565,8044,143,33
183212,-76,-16658,-185,108,167,2,3565,8044,143,33
183216,-227,-16680,-136,108,167,2,3565,8044,143,33
183218,-227,-16680,-136,108,167,2,3565,8044,143,33
183220,-227,-16680,-136,108,167,2,3565,8044,143,33
183222,-227,-16680,-136,-24,288,-159,3572,8053,113,35
183224,-227,-16680,-136,-24,288,-159,3572,8053,113,35
183226,-230,-16404,-106,-24,288,-159,3572,8053,113,35
183228,-230,-16404,-106,-24,288,-159,3572,8053,113,35
183248,-47,-16418,-176,2,225,-207,3556,8039,53,35
183250,-47,-16418,-176,2,225,-207,3556,8039,53,35
183252,-47,-16418,-176,2,481,-150,3556,8039,53,35
183255,-66,-16413,-101,-38,263,-150,3556,8039,53,35
183257,-66,-16413,-101,-38,263,-150,3556,8039,53,35
183259,-66,-16413,-101,-38,263,-150,3556,8039,53,35
183261,-66,-16413,-101,-38,263,-150,3556,8052,22,35
183263,-66,-16541,-258,-38,7,-239,3556,8052,22,35
183267,-32,-16541,-258,-63,170,-239,3556,8052,22,35
183269,-32,-16541,-258,-63,170,-239,3556,8052,22,35
183289,-124,-16502,-126,59,73,-134,3572,8055,175,35
183291,-124,-16502,-126,59,73,-134,3572,8055,175,35
183293,-124,-16502,-126,59,73,-134,3572,8055,175,35
183296,-130,-16442,-245,59,73,-223,3572,8055,175,35
183298,-130,-16442,-245,148,139,-223,3572,8055,175,35
183300,-130,-16442,-245,148,139,-223,3572,8055,175,34
183302,-130,-16442,-245,148,139,-223,3558,8039,156,34
183304,-130,-16502,-179,148,139,-223,3558,8039,156,34
183306,-83,-16502,-179,148,139,-223,3558,8039,156,34
183308,-83,-16502,-179,307,102,-241,3558,8039,156,34
183330,-155,-16451,-90,166,36,-80,3557,8037,174,34
183332,-155,-16451,-90,166,36,-80,3557,8037,174,34
183334,-155,-16451,-90,166,36,-80,3557,8037,174,34
183336,-80,-16524,-135,166,36,-80,3557,8037,174,34
183339,-80,-16524,-135,166,36,-80,3557,8037,174,34
183341,-80,-16524,-135,128,186,-114,3557,8037,174,34
183343,-80,-16524,-135,128,186,-114,3556,8045,132,34
183345,-80,-16512,-191,128,186,-114,3556,8045,132,34
183347,-74,-16512,-191,128,186,-114,3556,8045,132,34
183349,-74,-16512,-191,128,186,-114,3556,8045,132,34
183369,-75,-16463,-171,45,196,-207,3560,8048,-14,34
183371,-75,-16463,-171,105,229,-210,3560,8048,-14,34
183373,-75,-16463,-171,105,229,-210,3560,8048,-14,34
183377,-119,-16503,-124,105,229,-210,3560,8048,-14,34
183379,-119,-16503,-124,105,229,-210,3560,8048,-14,34
183382,-119,-16503,-124,105,229,-210,3560,8048,-14,34
183384,-119,-16503,-124,252,138,-214,3560,8049,67,34
183386,-131,-16530,-20,252,138,-214,3560,8049,67,34
183388,-131,-16530,-20,252,138,-214,3560,8049,67,34
183390,-131,-16530,-20,252,138,-214,3560,8049,67,34
183410,-74,-16483,-103,165,290,-308,3561,8067,166,34
183412,-74,-16483,-103,165,290,-308,3561,8067,166,34
183414,-74,-16483,-99,158,320,-293,3561,8067,166,34
183416,-109,-16452,-99,158,320,-293,3561,8067,166,34
183418,-109,-16452,-99,158,320,-293,3561,8067,166,34
183420,-109,-16452,-99,158,320,-293,3561,8067,166,34
183422,-109,-16452,-99,158,320,-293,3553,8048,114,34
183425,-101,-16485,-117,-8,420,-119,3553,8048,114,34
183429,-101,-16485,-117,-8,420,-119,3553,8048,114,34
183431,-101,-16485,-117,-8,420,-119,3553,8048,114,34
183451,-81,-16466,-116,-79,179,-165,3546,8043,160,34
183453,-81,-16466,-116,-79,179,-165,3546,8043,160,34
183455,-81,-16562,-158,-79,179,-165,3546,8043,160,34
183457,-68,-16562,-158,-34,110,-144,3546,8043,160,34
183459,-68,-16562,-158,-34,110,-144,3546,8043,160,34
183461,-68,-16562,-158,-34,110,-144,3546,8043,160,34
183463,-68,-16562,-158,-34,110,-144,3547,8041,174,34
183465,-133,-16503,-136,-34,110,-144,3547,8041,174,34
183468,-133,-16503,-136,64,34,-130,3547,8041,174,34
183470,-133,-16503,-136,64,34,-130,3547,8041,174,34
183492,-61,-16454,-187,98,188,-182,3559,8053,107,34
183494,-61,-16454,-187,98,188,-182,3559,8053,107,34
183496,-61,-16505,-146,98,188,-182,3559,8053,107,34
183498,-72,-16505,-146,98,188,-182,3559,8053,107,34
183500,-72,-16505,-146,-4,216,-207,3559,8053,107,34
183502,-72,-16505,-146,-4,216,-207,3559,8053,81,34
183504,-72,-16505,-146,-4,216,-207,3535,8053,81,34
183506,-52,-16514,-120,-4,216,-207,3535,8053,81,34
183508,-52,-16514,-120,-4,216,-207,3535,8053,81,34
183511,-52,-16514,-120,-91,191,-152,3535,8053,81,34
183531,-36,-16465,-238,-249,234,16,3542,8044,169,34
183533,-36,-16465,-238,-249,234,16,3542,8044,169,34
183535,-36,-16506,-273,-249,234,16,3542,8044,169,34
183537,-59,-16506,-273,-249,234,16,3542,8044,169,34
183541,-59,-16506,-273,-249,234,16,3542,8044,169,34
183543,-59,-16506,-273,-269,104,135,3542,8050,40,34
183545,-59,-16506,-273,-269,104,135,3546,8050,40,34
183547,-84,-16526,-246,-269,104,135,3546,8050,40,34
183549,-84,-16526,-246,-269,104,135,3546,8050,40,34
183552,-84,-16526,-246,-269,104,135,3546,8050,40,34
183572,-81,-16425,-285,-68,74,254,3571,8042,94,34
183574,-81,-16425,-285,-68,74,299,3571,8042,94,34
183576,-142,-16467,-243,118,36,299,3571,8042,94,34
183578,-142,-16467,-243,118,36,299,3571,8042,94,34
183580,-142,-16467,-243,118,36,299,3571,8042,94,34
183582,-142,-16467,-243,118,36,299,3567,8058,50,34
183584,-142,-16467,-243,118,36,228,3567,8058,50,34
183586,-122,-16462,-281,268,13,228,3567,8058,50,34
183588,-122,-16462,-281,268,13,228,3567,8058,50,34
183592,-122,-16462,-281,268,13,228,3567,8058,50,34
183613,-140,-16559,-153,356,-9,100,3582,8051,49,34
183615,-140,-16559,-153,356,-9,100,3582,8051,49,34
183617,-175,-16506,-205,356,-9,77,3582,8051,49,34
183619,-175,-16506,-205,213,33,77,3582,8051,49,34
183621,-175,-16506,-205,213,33,77,3582,8051,49,34
183623,-175,-16506,-205,213,33,77,3578,8048,180,34
183625,-175,-16506,-205,213,33,77,3578,8048,180,34
183627,-98,-16462,-170,213,33,-179,3578,8048,180,34
183629,-98,-16462,-170,136,171,-105,3578,8048,180,34
183631,-98,-16462,-170,136,171,-105,3578,8048,180,34
183654,-102,-16345,-341,45,383,-217,3569,8034,114,34
183656,-102,-16345,-341,45,383,-217,3569,8034,114,34
183658,-166,-16507,-165,45,383,-217,3569,8034,114,34
183660,-166,-16507,-165,45,383,-217,3569,8034,114,34
183662,-166,-16507,-165,-95,505,-211,3569,8034,114,34
183664,-166,-16507,-165,-95,505,-211,3578,8047,92,34
183666,-166,-16507,-165,-95,505,-211,3578,8047,92,34
183668,-153,-16535,-261,-95,505,-211,3578,8047,92,34
183670,-153,-16535,-261,-95,505,-211,3578,8047,92,34
183672,-153,-16535,-261,-316,537,-208,3578,8047,92,34
183693,-141,-16554,-209,-223,325,-488,3579,8043,169,35
183695,-141,-16554,-209,-223,325,-488,3579,8043,169,35
183699,-72,-16425,-339,-223,325,-488,3579,8043,169,35
183701,-72,-16425,-339,-223,325,-488,3579,8043,169,35
183703,-72,-16425,-339,-223,325,-488,3579,8043,169,35
183705,-72,-16425,-339,-82,308,-566,3557,8033,107,32
183707,-72,-16425,-339,-82,308,-566,3557,8033,107,32
183709,-55,-16425,-323,-82,308,-566,3557,8033,107,32
183711,-55,-16425,-323,-82,308,-566,3557,8033,107,32
183713,-55,-16425,-323,-82,308,-566,3557,8033,107,32
183734,-46,-16593,-91,207,387,-682,3548,8037,45,32
183736,-46,-16593,-91,181,365,-463,3548,8037,45,32
183738,-50,-16585,-232,181,365,-463,3548,8037,45,32
183740,-50,-16585,-232,181,365,-463,3548,8037,45,32
183742,-50,-16585,-232,181,365,-463,3548,8037,45,32
183746,-50,-16585,-232,181,365,-463,3550,8041,124,34
183748,-50,-16585,-232,59,300,-352,3550,8041,124,34
183750,-121,-16517,-112,59,300,-352,3550,8041,124,34
183752,-121,-16517,-112,59,300,-352,3550,8041,124,34
183754,-121,-16517,-112,59,300,-352,3550,8041,124,34
183775,-73,-16435,-308,-9,198,-108,3561,8047,153,34
183777,-73,-16435,-308,-9,198,-108,3561,8047,153,34
183779,-116,-16385,-356,-50,114,12,3561,8047,153,34
183781,-116,-16385,-356,-50,114,12,3561,8047,153,34
183783,-116,-16385,-356,-50,114,12,3561,8047,153,32
183785,-116,-16385,-356,-50,114,12,3549,8036,-3,32
183787,-116,-16517,-291,-50,114,12,3549,8036,-3,32
183789,-173,-16517,-291,97,71,-57,3549,8036,-3,32
183791,-173,-16517,-291,97,71,-57,3549,8036,-3,32
183795,-173,-16517,-291,97,71,-57,3549,8036,-3,32
183816,-160,-16548,-220,328,35,-87,3555,8030,-55,33
183818,-160,-16548,-220,328,35,-87,3555,8030,-55,33
183820,-63,-16525,-232,328,35,-87,3555,8030,-55,33
183822,-63,-16525,-232,343,27,-66,3555,8030,-55,33
183824,-63,-16525,-232,343,27,-66,3555,8030,-55,33
183826,-63,-16525,-232,343,27,-66,3556,8025,99,33
183828,-11,-16458,-326,343,27,-66,3556,8025,99,33
183830,-11,-16458,-326,343,27,-66,3556,8025,99,33
183832,-11,-16458,-326,207,265,-182,3556,8025,99,33
183834,-11,-16458,-326,207,265,-182,3556,8025,99,33
183857,15,-16517,-250,214,326,-381,3534,8049,125,33
183859,15,-16517,-222,214,326,-381,3534,8049,125,33
183861,-68,-16597,-222,214,326,-381,3534,8049,125,33
183863,-68,-16597,-222,214,326,-381,3534,8049,125,33
183865,-68,-16597,-222,48,399,-360,3534,8049,125,32
183867,-68,-16597,-222,48,399,-360,3556,8046,77,32
183869,-110,-16571,-216,48,399,-360,3556,8046,77,32
183871,-110,-16571,-216,48,399,-360,3556,8046,77,32
183873,-110,-16571,-216,48,399,-360,3556,8046,77,32
