319758,-33,-1343,-15,-34,-35,-57,201,7775,-190,-126,,1343.489114
319766,-33,-1343,-15,-34,-35,-57,201,7775,-190,-126,,1343.489114
319772,-31,-1326,-9,-37,-48,-54,201,7775,-190,-126,,1326.392853
319780,-59,-1337,-31,-44,-124,-63,206,7779,-196,-126,,1338.660151
319787,-59,-1337,-9,-33,-157,-73,206,7779,-196,-126,,1338.331424
319795,-30,-1337,-9,-33,-157,-73,185,7783,-188,-126,,1337.366816
319801,-38,-1334,10,-36,-113,-61,185,7783,-188,-126,,1334.578585
319809,-29,-1355,31,-41,-115,-65,185,7783,-188,-126,,1355.664782
319815,-29,-1355,31,-41,-115,-65,179,7780,-200,-126,,1355.664782
319823,-45,-1346,33,-37,-115,-68,179,7780,-200,-126,,1347.156264
319850,-67,-1336,8,-55,-44,-73,177,7757,-153,-127,,1337.702882
319856,-51,-1329,-30,-50,-13,-87,178,7763,-183,-127,,1330.316504
319864,-51,-1329,-30,-52,-6,-91,178,7763,-183,-127,,1330.316504
319870,-1,-1339,-31,-55,-55,-97,178,7763,-183,-127,,1339.359175
319879,-16,-1331,0,-55,-55,-97,182,7761,-223,-127,,1331.096165
319885,-16,-1331,0,-48,-62,-90,182,7761,-223,-127,,1331.096165
319893,-23,-1333,46,-44,-25,-85,182,7784,-227,-126,,1333.991754
319899,-37,-1359,31,-44,-25,-85,180,7784,-227,-126,,1359.856978
319907,-28,-1347,0,-63,-56,-86,180,7784,-227,-126,,1347.290986
319913,-28,-1347,0,-78,-93,-80,167,7774,-204,-126,,1347.290986
319940,-16,-1345,-27,-65,-51,-97,166,7771,-302,-128,,1345.366121
319946,-34,-1332,-26,-60,-44,-83,166,7771,-302,-128,,1332.68751
319954,-34,-1332,-26,-54,-54,-81,165,7775,-212,-126,,1332.68751
319961,-42,-1328,-33,-54,-54,-81,165,7775,-212,-126,,1329.073738
319969,-27,-1339,3,-38,-32,-84,165,7775,-212,-126,,1339.27555
319975,-15,-1350,8,-53,19,-82,155,7758,-221,-126,,1350.107033
319983,-15,-1350,8,-53,19,-82,155,7758,-221,-126,,1350.107033
319989,-9,-1337,14,-48,15,-75,155,7758,-221,-126,,1337.103586
319997,1,-1341,-11,-50,-29,-72,164,7778,-211,-126,,1341.045488
320004,-21,-1340,-27,-50,-29,-72,164,7778,-211,-126,,1340.436496
320030,-35,-1324,-47,-49,-68,-53,157,7787,-220,-126,,1325.296193
320038,-43,-1320,-34,-33,-64,-65,157,7787,-220,-126,,1321.137767
320045,-49,-1355,10,-33,-64,-65,157,7787,-220,-126,,1355.922564
320053,-49,-1355,10,-23,-36,-68,169,7777,-206,-126,,1355.922564
320059,-44,-1346,14,-27,-14,-70,169,7777,-206,-126,,1346.791743
320067,-34,-1323,2,-27,-14,-70,169,7777,-206,-126,,1323.438325
320073,-16,-1334,15,-36,-31,-64,172,7758,-209,-127,,1334.180273
320081,-16,-1334,15,-39,-72,-77,172,7758,-209,-127,,1334.180273
320088,-40,-1341,17,-39,-72,-77,172,7758,-209,-127,,1341.70414
320094,-32,-1342,-28,-43,-56,-72,176,7788,-217,-126,,1342.673452
320120,-52,-1325,-42,-36,-123,-84,166,7773,-287,-126,,1326.684966
320129,-42,-1343,3,-36,-123,-84,166,7773,-180,-126,,1343.659927
320135,-36,-1348,40,-24,-95,-85,168,7771,-180,-126,,1349.073756
320143,-50,-1340,68,-35,-89,-84,168,7771,-180,-126,,1342.655578
320149,-50,-1340,68,-35,-89,-84,154,7769,-224,-126,,1342.655578
320157,-77,-1346,27,-52,-89,-86,154,7769,-224,-126,,1348.470986
320163,-75,-1347,26,-65,-83,-78,154,7769,-224,-126,,1349.336874
320172,-75,-1347,-15,-65,-83,-78,154,7767,-220,-126,,1349.169745
320178,-58,-1334,-15,-68,-14,-90,154,7767,-220,-126,,1335.344525
320186,-39,-1339,-15,-58,41,-94,154,7767,-220,-126,,1339.65182
320212,-29,-1327,-4,-56,-13,-99,149,7773,-318,-126,,1327.32287
320219,-29,-1327,-4,-48,-5,-95,149,7773,-318,-126,,1327.32287
320227,-31,-1328,35,-53,34,-89,149,7773,-318,-126,,1328.822787
320233,-27,-1361,31,-53,34,-89,151,7766,-197,-126,,1361.620725
320241,-38,-1359,13,-62,-3,-98,151,7766,-197,-126,,1359.593322
320247,-38,-1359,13,-85,-23,-98,162,7771,-222,-126,,1359.593322
320256,-14,-1317,-18,-85,-23,-98,162,7771,-222,-126,,1317.197404
320262,-20,-1329,-35,-70,-15,-92,162,7771,-222,-126,,1329.611221
320268,-20,-1329,-35,-63,8,-84,151,7767,-231,-126,,1329.611221
320276,-18,-1360,-48,-63,-11,-89,151,7767,-231,-126,,1360.965834
320303,-19,-1338,-18,-53,-34,-83,139,7778,-160,-126,,1338.255955
320309,-13,-1344,4,-49,-28,-78,143,7772,-283,-126,,1344.068823
320317,-13,-1344,4,-49,-28,-78,143,7772,-283,-126,,1344.068823
320323,-22,-1336,14,-39,-21,-77,143,7772,-283,-126,,1336.254467
320331,1,-1340,5,-57,-26,-77,151,7771,-176,-126,,1340.009701
320337,1,-1340,5,-57,-26,-77,151,7771,-176,-126,,1340.009701
320346,-17,-1352,-60,-72,-49,-74,160,7774,-235,-126,,1353.437475
320352,-28,-1341,-67,-62,-71,-62,160,7774,-235,-126,,1342.964631
320360,-54,-1319,-67,-44,-31,-58,160,7774,-235,-126,,1321.80407
320366,-54,-1319,-67,-44,-31,-58,162,7769,-220,-126,,1321.80407
320393,-56,-1344,32,-29,-60,-63,152,7776,-280,-126,,1345.546729
320401,-49,-1326,42,-29,-60,-63,152,7776,-280,-126,,1327.569584
320407,-49,-1326,5,-42,1,-57,170,7772,-217,-127,,1326.914466
320415,-38,-1350,5,-39,-12,-68,170,7772,-217,-127,,1350.543964
320421,-47,-1343,9,-39,-36,-70,170,7772,-217,-127,,1343.852298
320430,-42,-1319,-4,-43,-36,-70,173,7764,-186,-127,,1319.674581
320436,-42,-1319,-4,-42,-32,-69,173,7764,-186,-127,,1319.674581
320444,-51,-1338,-34,-47,-30,-74,173,7764,-186,-126,,1339.403225
